application-positionExternalId,application-candidateExternalId,application-Stage
"68840","84502","SHORTLISTED"
"68840","84953","SHORTLISTED"
"68842","69859","SENT"
"68843","68730","SHORTLISTED"
"68934","65291","SENT"
"68934","66026","SENT"
"68934","68762","SENT"
"68934","69197","SENT"
"68967","69160","FIRST_INTERVIEW"
"68967","69374","FIRST_INTERVIEW"
"68999","64277","SHORTLISTED"
"69019","68974","SHORTLISTED"
"69023","69028","SHORTLISTED"
"69023","70040","SHORTLISTED"
"69023","70495","SHORTLISTED"
"69073","43564","FIRST_INTERVIEW"
"69073","63881","FIRST_INTERVIEW"
"69095","66026","SHORTLISTED"
"69095","68762","SENT"
"69105","60821","SHORTLISTED"
"69105","68974","SHORTLISTED"
"69105","69421","SHORTLISTED"
"69105","70496","SHORTLISTED"
"69206","69642","SHORTLISTED"
"69219","68762","SENT"
"69219","69113","SHORTLISTED"
"69305","69374","FIRST_INTERVIEW"
"69331","60017","SHORTLISTED"
"69331","69421","SHORTLISTED"
"69431","69421","SHORTLISTED"
"69540","64127","FIRST_INTERVIEW"
"69540","71020","FIRST_INTERVIEW"
"69540","71198","FIRST_INTERVIEW"
"69555","69739","SENT"
"69555","70276","SENT"
"69555","70614","SENT"
"69556","43905","SHORTLISTED"
"69556","69863","SHORTLISTED"
"69556","71140","SHORTLISTED"
"69855","68806","SHORTLISTED"
"69909","68931","FIRST_INTERVIEW"
"69909","69374","FIRST_INTERVIEW"
"69909","69642","FIRST_INTERVIEW"
"70324","70496","SHORTLISTED"
"70470","40733","SHORTLISTED"
"70470","60980","SHORTLISTED"
"70470","70552","SHORTLISTED"
"70470","71299","SHORTLISTED"
"70470","71313","SHORTLISTED"
"70470","71390","SHORTLISTED"
"70470","71555","SHORTLISTED"
"70517","40733","SHORTLISTED"
"70517","70552","SENT"
"70517","71299","SHORTLISTED"
"70517","71390","SHORTLISTED"
"70517","71555","SHORTLISTED"
"70529","70641","SHORTLISTED"
"70529","70718","SHORTLISTED"
"70529","70862","SHORTLISTED"
"70529","70923","SHORTLISTED"
"70529","71398","SHORTLISTED"
"70529","71648","SHORTLISTED"
"70860","63848","FIRST_INTERVIEW"
"70860","76265","FIRST_INTERVIEW"
"70861","70864","SHORTLISTED"
"70981","70982","OFFERED"
"71239","56590","FIRST_INTERVIEW"
"71311","71348","FIRST_INTERVIEW"
"71311","76805","FIRST_INTERVIEW"
"71319","70982","OFFERED"
"71319","71279","SENT"
"71465","73775","SENT"
"72154","72165","SHORTLISTED"
"72154","72456","SHORTLISTED"
"72154","72651","SENT"
"72233","73607","OFFERED"
"72399","72400","OFFERED"
"72806","63848","FIRST_INTERVIEW"
"72806","70550","FIRST_INTERVIEW"
"72806","70644","FIRST_INTERVIEW"
"72806","74494","FIRST_INTERVIEW"
"72806","75397","FIRST_INTERVIEW"
"72806","75984","FIRST_INTERVIEW"
"72832","73111","SENT"
"72909","65311","OFFERED"
"72909","67419","SHORTLISTED"
"72909","80899","SHORTLISTED"
"72917","68931","FIRST_INTERVIEW"
"72917","76009","FIRST_INTERVIEW"
"72945","79662","SENT"
"73031","72836","SHORTLISTED"
"73033","73237","SHORTLISTED"
"73335","73279","SHORTLISTED"
"73335","74494","SHORTLISTED"
"74140","74185","OFFERED"
"74178","62038","SENT"
"74394","63848","SHORTLISTED"
"74394","70660","SHORTLISTED"
"74394","74347","SHORTLISTED"
"74452","69769","SENT"
"74534","69769","SENT"
"74534","74693","SENT"
"74666","59486","SHORTLISTED"
"74666","69365","SENT"
"75145","75397","FIRST_INTERVIEW"
"75145","76009","FIRST_INTERVIEW"
"75145","88539","OFFERED"
"75145","89892","FIRST_INTERVIEW"
"75229","69016","SHORTLISTED"
"75229","72182","SHORTLISTED"
"75229","75449","SHORTLISTED"
"75229","80575","SHORTLISTED"
"75229","80998","SHORTLISTED"
"75229","83103","SHORTLISTED"
"75229","87846","SHORTLISTED"
"75229","89301","SHORTLISTED"
"75229","89477","SHORTLISTED"
"75246","72193","SHORTLISTED"
"75246","76898","SHORTLISTED"
"75246","77656","SHORTLISTED"
"75246","79662","SHORTLISTED"
"75247","77350","SHORTLISTED"
"75262","76923","FIRST_INTERVIEW"
"75262","77181","OFFERED"
"75284","75286","FIRST_INTERVIEW"
"75284","75287","SHORTLISTED"
"75396","71519","SHORTLISTED"
"75396","75794","SHORTLISTED"
"75396","80135","SHORTLISTED"
"75404","75403","SHORTLISTED"
"75404","75601","SHORTLISTED"
"75404","75669","FIRST_INTERVIEW"
"75404","76102","FIRST_INTERVIEW"
"75404","76420","FIRST_INTERVIEW"
"75404","76492","FIRST_INTERVIEW"
"75450","44604","FIRST_INTERVIEW"
"75450","68931","FIRST_INTERVIEW"
"75450","76144","FIRST_INTERVIEW"
"75469","40324","FIRST_INTERVIEW"
