application-positionExternalId,application-candidateExternalId,application-Stage,actioned_date
"64331","71028","SHORTLISTED","2008-11-10"
"64331","72677","OFFERED","2008-11-28"
"64331","73777","FIRST_INTERVIEW","2008-12-11"
"64528","42215","SENT","2008-09-11"
"64763","65311","SHORTLISTED","2008-09-22"
"64763","65681","SHORTLISTED","2008-09-26"
"64772","44361","FIRST_INTERVIEW","2009-03-09"
"64772","51138","FIRST_INTERVIEW","2008-12-15"
"64772","66420","FIRST_INTERVIEW","2008-10-08"
"64772","71021","FIRST_INTERVIEW","2008-11-25"
"64772","72182","FIRST_INTERVIEW","2008-11-27"
"64772","75305","FIRST_INTERVIEW","2009-01-15"
"64781","49667","FIRST_INTERVIEW","2008-10-10"
"64781","65803","OFFERED","2008-10-21"
"65176","57643","FIRST_INTERVIEW","2008-09-23"
"65176","65791","FIRST_INTERVIEW","2008-09-24"
"65176","67884","FIRST_INTERVIEW","2008-10-08"
"65176","69595","SENT","2008-10-23"
"65292","65291","FIRST_INTERVIEW","2008-10-02"
"65292","65448","SHORTLISTED","2008-09-22"
"65435","64753","SHORTLISTED","2008-09-23"
"65435","65529","SHORTLISTED","2008-09-22"
"65435","65735","SHORTLISTED","2008-09-23"
"65435","66121","SENT","2008-09-26"
"65435","66135","SHORTLISTED","2008-09-26"
"65549","48484","SHORTLISTED","2008-09-22"
"65549","65322","OFFERED","2008-09-22"
"65657","61225","FIRST_INTERVIEW","2008-10-02"
"65773","65322","SHORTLISTED","2008-09-24"
"65773","66551","SHORTLISTED","2008-10-01"
"66559","66551","SHORTLISTED","2008-10-01"
"66560","64105","SHORTLISTED","2008-10-01"
"66560","69028","SHORTLISTED","2008-10-16"
"66562","66112","SHORTLISTED","2008-10-01"
"66562","68730","SHORTLISTED","2008-10-14"
"66562","69166","SHORTLISTED","2008-10-20"
"66563","57243","SHORTLISTED","2008-10-08"
"66563","69421","SHORTLISTED","2008-10-22"
"66563","69447","SHORTLISTED","2008-10-22"
"66563","69552","SHORTLISTED","2008-10-23"
"66877","67419","SHORTLISTED","2008-10-29"
"67220","43564","FIRST_INTERVIEW","2008-10-30"
"67220","66551","FIRST_INTERVIEW","2008-10-06"
"67638","77512","FIRST_INTERVIEW","2009-01-23"
"67693","66410","SHORTLISTED","2008-10-13"
"67693","73111","SHORTLISTED","2008-11-27"
"67695","68431","SHORTLISTED","2008-10-13"
"67698","43914","SHORTLISTED","2008-11-05"
"67698","68729","SHORTLISTED","2008-10-20"
"67928","51173","FIRST_INTERVIEW","2008-10-21"
"67975","68002","SHORTLISTED","2008-10-09"
"67975","68107","SHORTLISTED","2008-10-14"
"67975","68367","SHORTLISTED","2008-10-10"
"67975","69172","FIRST_INTERVIEW","2008-10-30"
"67975","69322","SHORTLISTED","2008-10-30"
"68006","43276","FIRST_INTERVIEW","2008-11-28"
"68006","66410","FIRST_INTERVIEW","2008-10-17"
"68006","71198","SHORTLISTED","2008-11-24"
"68006","71809","FIRST_INTERVIEW","2008-11-17"
"68006","76372","FIRST_INTERVIEW","2009-02-18"
"68006","81021","FIRST_INTERVIEW","2009-03-04"
"68675","68673","SENT","2008-10-16"
"68675","68798","SENT","2008-10-14"
"68840","69017","SHORTLISTED","2008-10-16"
"68840","69863","SHORTLISTED","2008-10-31"
"68840","84502","SHORTLISTED","2009-04-03"
"68840","84953","SHORTLISTED","2009-04-02"
"68842","69859","SENT","2008-10-27"
"68843","68730","SHORTLISTED","2008-10-20"
"68934","65291","SENT","2008-10-17"
"68934","66026","SENT","2008-10-21"
"68934","68762","SENT","2008-10-16"
"68934","69197","SENT","2008-10-20"
"68967","69160","FIRST_INTERVIEW","2008-10-27"
"68967","69374","FIRST_INTERVIEW","2008-10-29"
"68999","64277","SHORTLISTED","2008-10-16"
"69019","68974","SHORTLISTED","2008-10-16"
"69023","69028","SHORTLISTED","2008-10-16"
"69023","70040","SHORTLISTED","2008-10-29"
"69023","70495","SHORTLISTED","2008-11-04"
"69073","43564","FIRST_INTERVIEW","2008-11-12"
"69073","63881","FIRST_INTERVIEW","2008-12-16"
"69095","66026","SHORTLISTED","2008-10-17"
"69095","68762","SENT","2008-10-17"
"69105","60821","SHORTLISTED","2008-11-10"
"69105","68974","SHORTLISTED","2008-10-17"
"69105","69421","SHORTLISTED","2008-10-27"
